Name,2018,2019,2020,2021,2022,2023,2024,2025
NICHICON CORP - BOOK VALUE-OUT SHARES-FISCAL,1345.565,1136.994,1104.87,1274.324,1350.754,1444.657,1620.981,NA
NICHICON CORP - PRICE TO BOOK VAL,1.08,0.93,0.52,0.87,0.73,0.83,0.8,0.67
NIPPN CORP - RETURN ON ASSETS,3,3.06,3.13,2.93,3,3.12,7.29,NA
NIPPN CORP - TOTAL DEBT % COMMON EQUITY,29.72,41.2,41.52,43.23,39.96,34.58,28.06,NA
NIPPN CORP - TOTAL DEBT % TOTAL CAPITAL/STD,22.41,28.56,28.73,29.6,28.05,25.32,21.61,NA
NIPPN CORP - BOOK VALUE-OUT SHARES-FISCAL,1899.401,1963.941,2008.537,2143.885,2269.651,2423.092,2877.001,NA
NIPPN CORP - PRICE TO BOOK VAL,0.87,0.93,0.79,0.71,0.69,0.59,0.84,0.77
NIPPON PAPER - RETURN ON ASSETS,0.76,-1.98,1.4,0.51,0.32,-2.59,1.87,NA
NIPPON PAPER - TOTAL DEBT % COMMON EQUITY,158.84,178.99,184.03,201.13,210.59,234.46,189.66,NA
NIPPON PAPER - TOTAL DEBT % TOTAL CAPITAL/STD,61.02,63.55,64.11,66.13,67.21,69.03,64.21,NA
NIPPON PAPER - BOOK VALUE-OUT SHARES-FISCAL,3776.26,3328.284,3248.54,3570.15,3695.306,3415.744,4062.193,NA
NIPPON PAPER - PRICE TO BOOK VAL,0.6,0.7,0.44,0.35,0.3,0.26,0.28,0.24
NIPPON PROLOGIS RE - RETURN ON ASSETS,3.29,3.2,3.24,3.24,3.13,3.05,3.13,NA
NIPPON PROLOGIS RE - TOTAL DEBT % COMMON EQUITY,62.2,64.54,64.35,64.37,65.15,65.02,65.54,NA
NIPPON PROLOGIS RE - TOTAL DEBT % TOTAL CAPITAL/STD,38.35,39.23,39.15,39.16,39.45,39.4,39.59,NA
NIPPON PROLOGIS RE - BOOK VALUE-OUT SHARES-FISCAL,155185.715,159010.658,163977.733,169972.992,174624.287,180560.425,179134.49,NA
NIPPON PROLOGIS RE - PRICE TO BOOK VAL,1.48,1.49,1.59,2.07,2.07,1.66,1.47,1.32
NIPPON PAINT HOLD - RETURN ON ASSETS,4.94,3.31,3.17,4.04,3.91,4.86,4.74,NA
NIPPON PAINT HOLD - TOTAL DEBT % COMMON EQUITY,17.51,79.97,94.26,54.51,62.85,54.46,47.77,NA
NIPPON PAINT HOLD - TOTAL DEBT % TOTAL CAPITAL/STD,12.33,39.13,43.36,35.06,38.46,35.1,32.06,NA
NIPPON PAINT HOLD - BOOK VALUE-OUT SHARES-FISCAL,324.308,344.75,354.298,408.614,489.187,578.347,677.38,NA
NIPPON PAINT HOLD - PRICE TO BOOK VAL,2.45,2.59,3.27,3.82,2.23,2.12,1.51,1.53
NISSAN MOTOR CO. - RETURN ON ASSETS,4.13,1.77,-3.73,-2.5,1.54,1.54,2.62,NA
NISSAN MOTOR CO. - TOTAL DEBT % COMMON EQUITY,143.71,151.43,194.57,192.65,155.71,137.08,130.58,NA
NISSAN MOTOR CO. - TOTAL DEBT % TOTAL CAPITAL/STD,57.63,58.81,64.12,63.65,58.64,55.63,54.69,NA
NISSAN MOTOR CO. - BOOK VALUE-OUT SHARES-FISCAL,1377.067,1355.176,1038.952,1007.8,1170.174,1310.813,1599.365,NA
NISSAN MOTOR CO. - PRICE TO BOOK VAL,0.83,0.9,0.37,0.49,0.39,0.31,0.37,0.2
NOMURA REAL ESTATE - RETURN ON ASSETS,3.16,3.07,3.12,2.63,3.14,3.51,3.61,NA
NOMURA REAL ESTATE - TOTAL DEBT % COMMON EQUITY,174.5,173.07,158.01,172.83,165.37,171.8,172.83,NA
NOMURA REAL ESTATE - TOTAL DEBT % TOTAL CAPITAL/STD,63.07,62.84,60.68,63.28,62.25,63.15,63.31,NA
NOMURA REAL ESTATE - BOOK VALUE-OUT SHARES-FISCAL,535.515,573.385,608.269,647.514,696.67,752.015,800.97,NA
NOMURA REAL ESTATE - PRICE TO BOOK VAL,0.89,0.68,0.54,0.76,0.79,0.75,1.06,1.09
NOMURA REAL - RETURN ON ASSETS,2.38,2.47,2.53,2.52,2.54,2.95,2.96,NA
NOMURA REAL - TOTAL DEBT % COMMON EQUITY,86.94,85,82.8,83.53,84.12,84.82,85.99,NA
NOMURA REAL - TOTAL DEBT % TOTAL CAPITAL/STD,46.51,45.95,45.29,45.51,45.69,45.89,46.23,NA
NOMURA REAL - BOOK VALUE-OUT SHARES-FISCAL,132314.476,132146.763,132657.289,131468.739,130456.403,130363.569,129878.869,NA
NOMURA REAL - PRICE TO BOOK VAL,1.13,1.2,1.03,1.31,1.24,1.18,1.15,1.1
NIPRO CORP - RETURN ON ASSETS,1.83,1.7,-1.07,2.12,1.83,0.64,1.44,NA
NIPRO CORP - TOTAL DEBT % COMMON EQUITY,298.38,332.65,361.52,335.41,303.05,289.98,271.91,NA
NIPRO CORP - TOTAL DEBT % TOTAL CAPITAL/STD,73.73,75.77,76.94,75.63,73.74,71.19,70.1,NA
NIPRO CORP - BOOK VALUE-OUT SHARES-FISCAL,1037.252,990.137,912.247,987.302,1135.761,1265,1426.554,NA
NIPRO CORP - PRICE TO BOOK VAL,1.54,1.51,1.2,1.15,0.79,0.71,0.89,0.91
NSK LTD - RETURN ON ASSETS,6.83,5.37,1.84,0.28,1.52,1.69,0.89,NA
NSK LTD - TOTAL DEBT % COMMON EQUITY,46.94,51.53,55.23,59.97,49.12,54.48,48.33,NA
NSK LTD - TOTAL DEBT % TOTAL CAPITAL/STD,31.01,33.04,34.65,36.7,32.25,34.6,31.99,NA
NSK LTD - BOOK VALUE-OUT SHARES-FISCAL,1016.298,1048.183,987.012,1081.603,1204.633,1200.924,1350.524,NA
NSK LTD - PRICE TO BOOK VAL,1.3,1.13,0.63,0.91,0.59,0.55,0.66,0.43
NIPPON STEEL CORP - RETURN ON ASSETS,2.85,3.45,-5.38,-0.14,8.18,7.9,5.71,NA
NIPPON STEEL CORP - TOTAL DEBT % COMMON EQUITY,65.78,73.33,94.21,92.73,76.54,64.56,56.76,NA
NIPPON STEEL CORP - TOTAL DEBT % TOTAL CAPITAL/STD,37.05,39.64,45.37,44.97,40.51,36.75,33.61,NA
NIPPON STEEL CORP - BOOK VALUE-OUT SHARES-FISCAL,3563.804,3509.729,2869.194,2997.531,3764.693,4540.591,5187.327,NA
NIPPON STEEL CORP - PRICE TO BOOK VAL,0.67,0.7,0.29,0.49,0.45,0.58,0.7,0.57
NTN CORP - RETURN ON ASSETS,2.9,-0.37,-5.06,-1.03,1.13,1.9,1.9,NA
NTN CORP - TOTAL DEBT % COMMON EQUITY,127.56,153.18,235.7,252.68,203.97,175.84,143.2,NA
NTN CORP - TOTAL DEBT % TOTAL CAPITAL/STD,54.51,58.86,68.61,70.1,65.09,62.04,57.41,NA
NTN CORP - BOOK VALUE-OUT SHARES-FISCAL,477.167,433.32,293.999,321.044,372.696,415.637,497.828,NA
NTN CORP - PRICE TO BOOK VAL,1.04,1.22,0.58,0.91,0.48,0.66,0.62,0.42
NITORI HOLDINGS - RETURN ON ASSETS,12.48,11.79,11.21,11.75,10.33,8.44,7.46,NA
NITORI HOLDINGS - TOTAL DEBT % COMMON EQUITY,2.79,2.16,2.68,9.06,12.65,17.92,16.06,NA
NITORI HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,2.72,2.12,2.61,7.86,11.23,15.2,13.84,NA
NITORI HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,3944.939,4457.178,4986.862,5691.117,6489.572,7239.036,7931.062,NA
NITORI HOLDINGS - PRICE TO BOOK VAL,4.15,2.75,2.7,3.13,2.05,2.03,2.98,2.05
NIPPON TELEGRAPH - RETURN ON ASSETS,4.52,4.2,4.08,4.31,5.42,5.34,5.08,NA
NIPPON TELEGRAPH - TOTAL DEBT % COMMON EQUITY,40.88,46.51,52.45,110.7,99.12,106.88,108.84,NA
NIPPON TELEGRAPH - TOTAL DEBT % TOTAL CAPITAL/STD,24.3,26.74,29.31,50.51,47.65,49.46,49.59,NA
NIPPON TELEGRAPH - BOOK VALUE-OUT SHARES-FISCAL,96.252,96.641,99.704,83.519,93.549,100.442,117.079,NA
NIPPON TELEGRAPH - PRICE TO BOOK VAL,1.06,0.92,1.23,1.22,1.47,1.35,1.5,1.25
NIPPON KAYAKU CO. - RETURN ON ASSETS,5.57,5.19,4.53,4.42,5.67,4.73,1.22,NA
NIPPON KAYAKU CO. - TOTAL DEBT % COMMON EQUITY,7.69,7.09,11.22,8.89,7.06,7.93,11.86,NA
NIPPON KAYAKU CO. - TOTAL DEBT % TOTAL CAPITAL/STD,6.77,6.27,10.06,8.14,6.57,7.32,10.57,NA
NIPPON KAYAKU CO. - BOOK VALUE-OUT SHARES-FISCAL,1203.119,1247.747,1225.711,1332.058,1459.058,1532.352,1625.184,NA
NIPPON KAYAKU CO. - PRICE TO BOOK VAL,1.06,1.08,0.74,0.72,0.73,0.74,0.81,0.79
YAMATO KOGYO CO. - RETURN ON ASSETS,3.42,6.07,3.85,1.35,10.32,14.06,12.47,NA
YAMATO KOGYO CO. - TOTAL DEBT % COMMON EQUITY,0.01,0.02,0.15,0.74,0.58,0.5,0.44,NA
YAMATO KOGYO CO. - TOTAL DEBT % TOTAL CAPITAL/STD,0.01,0.02,0.14,0.68,0.54,0.47,0.42,NA
YAMATO KOGYO CO. - BOOK VALUE-OUT SHARES-FISCAL,4455.986,4654.128,4751.092,4598.588,5501.157,6917.474,8207.681,NA
YAMATO KOGYO CO. - PRICE TO BOOK VAL,0.65,0.61,0.44,0.6,0.51,0.64,1.02,0.93
NEXON CO LTD - RETURN ON ASSETS,18.42,17.39,7.34,12.89,10.42,7.04,12.01,NA
NEXON CO LTD - TOTAL DEBT % COMMON EQUITY,0.8,2.21,2.46,2.05,2.89,3.44,4.03,NA
NEXON CO LTD - TOTAL DEBT % TOTAL CAPITAL/STD,0.78,2.12,2.37,1.98,2.78,3.29,3.83,NA
NEXON CO LTD - BOOK VALUE-OUT SHARES-FISCAL,620.912,702.595,800.353,939.192,996.95,1064.901,1238.179,NA
NEXON CO LTD - PRICE TO BOOK VAL,2.65,2.38,2.24,3.83,2.93,2.96,1.95,1.69
NIPPON YUSEN K.K. - RETURN ON ASSETS,1.53,-0.99,2.7,7.56,39.36,30.04,5.96,NA
NIPPON YUSEN K.K. - TOTAL DEBT % COMMON EQUITY,179.59,215.96,228,152.7,47.17,28,34.48,NA
NIPPON YUSEN K.K. - TOTAL DEBT % TOTAL CAPITAL/STD,62.75,66.86,67.89,58.86,31.48,21.56,25.33,NA
NIPPON YUSEN K.K. - BOOK VALUE-OUT SHARES-FISCAL,1090.735,963.083,913.465,1234.42,3381.429,4877.55,5772.501,NA
NIPPON YUSEN K.K. - PRICE TO BOOK VAL,0.75,0.64,0.38,0.41,0.63,0.57,0.71,0.8
OBAYASHI CORP - RETURN ON ASSETS,4.52,5.25,5.15,4.45,1.73,3.16,2.76,NA
OBAYASHI CORP - TOTAL DEBT % COMMON EQUITY,40.45,35.44,30.55,28.68,29.39,34.54,28.91,NA
OBAYASHI CORP - TOTAL DEBT % TOTAL CAPITAL/STD,28.02,25.45,22.71,21.72,22.12,24.95,21.79,NA
OBAYASHI CORP - BOOK VALUE-OUT SHARES-FISCAL,954.051,1071.495,1139.685,1297.256,1333.096,1390.769,1606.181,NA
OBAYASHI CORP - PRICE TO BOOK VAL,1.08,0.94,0.75,0.8,0.64,0.63,1.08,1.26
NIPPON BUILDING FUND - RETURN ON ASSETS,3.12,3.25,3.14,3.66,3.61,3,3.51,NA
NIPPON BUILDING FUND - TOTAL DEBT % COMMON EQUITY,77.36,79.99,68.93,81.88,81.74,83.89,82.53,NA
NIPPON BUILDING FUND - TOTAL DEBT % TOTAL CAPITAL/STD,43.62,44.44,40.8,45.02,44.98,45.62,45.21,NA
NIPPON BUILDING FUND - BOOK VALUE-OUT SHARES-FISCAL,76553.521,76767.005,80680.286,81366.518,83071.696,83039.502,83533.002,NA
NIPPON BUILDING FUND - PRICE TO BOOK VAL,1.58,1.89,1.62,1.73,1.62,1.33,1.45,1.59
"OBIC CO., LTD. - RETURN ON ASSETS",12.57,13.95,13.96,13.65,14.04,14.53,14.01,NA
"OBIC CO., LTD. - TOTAL DEBT % COMMON EQUITY",0,0,0,0,0,0,0,NA
"OBIC CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",0,0,0,0,0,0,0,NA
"OBIC CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",443.828,491.23,536.011,598.142,662.097,739.431,906.379,NA
"OBIC CO., LTD. - PRICE TO BOOK VAL",3.58,4.38,4.88,6.03,4.94,4.61,4.71,5.02
TAIHEIYO CEMENT CORP - RETURN ON ASSETS,4.17,4.6,4.16,4.83,2.87,-2.59,3.55,NA
TAIHEIYO CEMENT CORP - TOTAL DEBT % COMMON EQUITY,85.21,78.35,71.04,62,62.11,94.5,76.94,NA
TAIHEIYO CEMENT CORP - TOTAL DEBT % TOTAL CAPITAL/STD,43.79,41.9,39.6,36.55,36.79,46.93,42.08,NA
TAIHEIYO CEMENT CORP - BOOK VALUE-OUT SHARES-FISCAL,3193.647,3388.395,3567.631,3971.342,4362.203,4228.456,4872.899,NA
TAIHEIYO CEMENT CORP - PRICE TO BOOK VAL,1.16,1.08,0.54,0.64,0.46,0.49,0.73,0.77
JTEKT CORP - RETURN ON ASSETS,4.38,2.12,-0.03,0.12,1.68,2.67,2.89,NA
JTEKT CORP - TOTAL DEBT % COMMON EQUITY,51.69,51.15,66.78,53.22,43.3,39.75,32.12,NA
JTEKT CORP - TOTAL DEBT % TOTAL CAPITAL/STD,32.49,32.46,38.55,33.38,29.04,27.46,23.55,NA
JTEKT CORP - BOOK VALUE-OUT SHARES-FISCAL,1554.112,1564.206,1455.945,1606.304,1819.465,1945.434,2300.323,NA
JTEKT CORP - PRICE TO BOOK VAL,1.03,0.99,0.46,0.61,0.45,0.44,0.62,0.41
OKUMURA CORP - RETURN ON ASSETS,5.04,4.07,3.36,3.37,3.88,3.44,3.54,NA
OKUMURA CORP - TOTAL DEBT % COMMON EQUITY,8.83,9.02,15.45,18.21,21.36,23.15,23.4,NA
OKUMURA CORP - TOTAL DEBT % TOTAL CAPITAL/STD,8.11,8.28,13.41,15.5,17.56,18.69,18.73,NA
OKUMURA CORP - BOOK VALUE-OUT SHARES-FISCAL,4210.691,4338.276,4137.738,4471.362,4540.263,4673.669,5123.6,NA
OKUMURA CORP - PRICE TO BOOK VAL,0.99,0.84,0.53,0.63,0.64,0.61,0.95,0.84
YAMATO HOLDINGS CO - RETURN ON ASSETS,1.69,2.38,2.11,5.45,5.44,4.49,3.65,NA
YAMATO HOLDINGS CO - TOTAL DEBT % COMMON EQUITY,27.81,20.01,22.49,11.3,7.77,7.91,15.8,NA
YAMATO HOLDINGS CO - TOTAL DEBT % TOTAL CAPITAL/STD,21.54,16.49,18.15,10.03,7.12,7.26,13.52,NA
YAMATO HOLDINGS CO - BOOK VALUE-OUT SHARES-FISCAL,1395.741,1435.145,1441.201,1553.448,1611.343,1684.866,1708.002,NA
YAMATO HOLDINGS CO - PRICE TO BOOK VAL,1.94,1.92,1.2,1.91,1.41,1.32,1.27,1.14
OJI HOLDINGS - RETURN ON ASSETS,2.1,2.91,3.29,2.8,4.59,2.81,2.35,NA
OJI HOLDINGS - TOTAL DEBT % COMMON EQUITY,96.54,91.96,87.02,89.14,79.4,86.99,71.77,NA
OJI HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,44.54,43.32,42.01,43.62,43.57,45.8,41.13,NA
OJI HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,681.767,684.724,699.336,758.477,859.454,945.401,1083.161,NA
OJI HOLDINGS - PRICE TO BOOK VAL,1.01,1,0.76,0.84,0.63,0.48,0.6,0.55
OKI ELECTRIC INDS. - RETURN ON ASSETS,1.91,2.62,4.15,0.32,0.74,-0.25,6.87,NA
OKI ELECTRIC INDS. - TOTAL DEBT % COMMON EQUITY,93.36,93.33,91.83,83.79,93.73,129.67,83.84,NA
OKI ELECTRIC INDS. - TOTAL DEBT % TOTAL CAPITAL/STD,47.82,48.24,47.85,45.57,48.37,56.44,45.59,NA
OKI ELECTRIC INDS. - BOOK VALUE-OUT SHARES-FISCAL,1155.188,1156.81,1229.396,1307.59,1242.197,1145.353,1629.631,NA
OKI ELECTRIC INDS. - PRICE TO BOOK VAL,1.23,1.1,0.77,0.92,0.72,0.44,0.73,0.53
OLYMPUS CORP - RETURN ON ASSETS,6.67,1.09,5.86,1.56,9.85,11.15,17.53,NA
OLYMPUS CORP - TOTAL DEBT % COMMON EQUITY,57.92,43.15,75.77,90.09,75.69,53.13,39.57,NA
OLYMPUS CORP - TOTAL DEBT % TOTAL CAPITAL/STD,36.6,30.09,43.03,47.32,43.02,34.65,28.35,NA
OLYMPUS CORP - BOOK VALUE-OUT SHARES-FISCAL,324.252,323.057,288.388,306.717,400.75,510.623,649.593,NA
OLYMPUS CORP - PRICE TO BOOK VAL,3.05,4.3,5.29,5.78,4.76,3.85,3.32,2.76
HINO MOTORS LTD - RETURN ON ASSETS,4.43,4.6,2.8,-0.27,-6.66,-8.54,1.7,NA
HINO MOTORS LTD - TOTAL DEBT % COMMON EQUITY,40.2,44.72,39.41,32.86,37.32,83.11,99.4,NA
HINO MOTORS LTD - TOTAL DEBT % TOTAL CAPITAL/STD,26.76,28.92,26.5,23.14,24.89,41.37,45.68,NA
HINO MOTORS LTD - BOOK VALUE-OUT SHARES-FISCAL,875.441,945.417,944.532,965.536,798.168,640.937,682.98,NA
HINO MOTORS LTD - PRICE TO BOOK VAL,1.42,1.04,0.61,1.19,1.05,0.81,0.75,0.6
OMRON CORP - RETURN ON ASSETS,9.14,7.7,10.49,5.71,7.19,7.83,0.7,NA
OMRON CORP - TOTAL DEBT % COMMON EQUITY,0,0,0,0,3.01,0.03,15.39,NA
OMRON CORP - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,0,0,2.91,0.03,11.29,NA
OMRON CORP - BOOK VALUE-OUT SHARES-FISCAL,2400.367,2455.24,2626.621,3009.155,3339.64,3701.079,3995.042,NA
OMRON CORP - PRICE TO BOOK VAL,2.46,2.18,1.95,2.76,2.07,1.86,1.34,1
"OSAKA GAS CO., LTD. - RETURN ON ASSETS",2.29,2.07,2.36,4.04,5.79,2.5,4.95,NA
"OSAKA GAS CO., LTD. - TOTAL DEBT % COMMON EQUITY",50.54,64.69,75.75,72.71,64.95,65.58,57.88,NA
"OSAKA GAS CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",32.93,38.56,42.37,41.38,38.92,39.17,36.26,NA
"OSAKA GAS CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",2403.68,2415.366,2399.065,2602.177,3030.627,3347.342,3857.51,NA
"OSAKA GAS CO., LTD. - PRICE TO BOOK VAL",0.9,0.89,0.79,0.68,0.61,0.56,0.89,0.86
ORACLE CORP. JAPAN - RETURN ON ASSETS,17.96,17.38,17.12,15.83,18.18,20.35,18.06,NA
ORACLE CORP. JAPAN - TOTAL DEBT % COMMON EQUITY,0,0,0,0,0,0,0,NA
ORACLE CORP. JAPAN - TOTAL DEBT % TOTAL CAPITAL/STD,0,0,0,0,0,0,0,NA
ORACLE CORP. JAPAN - BOOK VALUE-OUT SHARES-FISCAL,1027.432,1253.089,1494.222,1718.216,978.282,1217.723,1496.951,NA
ORACLE CORP. JAPAN - PRICE TO BOOK VAL,8.54,5.86,6.47,6.21,8.49,7.44,7.46,10.73
ORIENTAL LAND CO. - RETURN ON ASSETS,9.22,9.22,6.05,-5.3,0.8,7.12,9.43,NA
ORIENTAL LAND CO. - TOTAL DEBT % COMMON EQUITY,8.25,13.5,10.62,24.5,32.08,29.08,22.04,NA
ORIENTAL LAND CO. - TOTAL DEBT % TOTAL CAPITAL/STD,7.63,11.89,9.6,19.68,24.29,22.53,18.06,NA
ORIENTAL LAND CO. - BOOK VALUE-OUT SHARES-FISCAL,439.311,488.593,501.11,464.141,461.822,506.499,579.555,NA
ORIENTAL LAND CO. - PRICE TO BOOK VAL,4.39,4.98,5.95,7.05,8.91,8.24,8.19,5.35
ORIX CORP - RETURN ON ASSETS,4.91,5.19,4.64,3.38,4.01,4.25,5.64,NA
ORIX CORP - TOTAL DEBT % COMMON EQUITY,154.09,155.18,154.3,156.1,149.46,170.58,157.51,NA
ORIX CORP - TOTAL DEBT % TOTAL CAPITAL/STD,59.56,60.28,60.02,60.37,59.11,62.55,60.67,NA
ORIX CORP - BOOK VALUE-OUT SHARES-FISCAL,2092.942,2263.407,2386.35,2487.769,2728.392,2868.126,3422.941,NA
ORIX CORP - PRICE TO BOOK VAL,0.82,0.67,0.51,0.67,0.8,0.64,0.94,0.78
ORIX JREIT INC - RETURN ON ASSETS,3.17,3.19,3.67,3.13,3.34,3.04,3.63,NA
ORIX JREIT INC - TOTAL DEBT % COMMON EQUITY,82.67,83.77,83.16,85.3,83.99,83.96,84.92,NA
ORIX JREIT INC - TOTAL DEBT % TOTAL CAPITAL/STD,45.26,45.58,45.4,46.03,45.65,45.64,45.92,NA
ORIX JREIT INC - BOOK VALUE-OUT SHARES-FISCAL,126234.783,126265.58,126750.725,126416.667,127057.971,126041.304,126747.826,NA
ORIX JREIT INC - PRICE TO BOOK VAL,1.29,1.52,1.07,1.58,1.31,1.34,1.32,1.42
KOSE CORP - RETURN ON ASSETS,11.9,13.29,8.97,5.8,5.61,3.23,2.02,NA
KOSE CORP - TOTAL DEBT % COMMON EQUITY,0.71,0.8,0.74,0.59,3.85,3.84,4.12,NA
KOSE CORP - TOTAL DEBT % TOTAL CAPITAL/STD,0.66,0.74,0.68,0.55,3.5,3.48,3.72,NA
KOSE CORP - BOOK VALUE-OUT SHARES-FISCAL,3227.069,3660.767,3920.396,4178.015,4539.393,4664.712,4771.693,NA
KOSE CORP - PRICE TO BOOK VAL,5.84,5.39,3.27,3.78,2.75,3.36,1.59,1.25
JAPAN EXCHANGE - RETURN ON ASSETS,13.79,12.88,12.56,13.31,12.78,11.93,15.06,NA
JAPAN EXCHANGE - TOTAL DEBT % COMMON EQUITY,19.15,18.4,17.59,16.32,16.62,16.94,15.98,NA
JAPAN EXCHANGE - TOTAL DEBT % TOTAL CAPITAL/STD,15.79,15.25,14.66,13.76,13.94,14.13,13.42,NA
JAPAN EXCHANGE - BOOK VALUE-OUT SHARES-FISCAL,255.495,266.049,278.486,300.188,299.175,299.734,315.54,NA
JAPAN EXCHANGE - PRICE TO BOOK VAL,3.72,3.19,3.5,4.8,3.71,3.26,6.55,4.76
OTSUKA HOLDINGS - RETURN ON ASSETS,3.45,5.2,5.83,4.73,4.68,3.96,10.31,NA
OTSUKA HOLDINGS - TOTAL DEBT % COMMON EQUITY,12.55,14.34,12.2,10.56,8.72,8.95,6.93,NA
OTSUKA HOLDINGS - TOTAL DEBT % TOTAL CAPITAL/STD,10.99,12.36,10.72,9.41,7.9,8.08,6.38,NA
OTSUKA HOLDINGS - BOOK VALUE-OUT SHARES-FISCAL,3145.714,3257.171,3415.546,3707.64,4101.122,4410.806,5089.589,NA
OTSUKA HOLDINGS - PRICE TO BOOK VAL,1.7,1.29,1.24,1.22,1.03,0.97,1.24,1.32
OTSUKA CORP - RETURN ON ASSETS,8.59,10.18,8.56,8.46,8.06,8.92,8.82,NA
OTSUKA CORP - TOTAL DEBT % COMMON EQUITY,3.59,3.4,3.21,2.96,2.64,2.39,2.03,NA
OTSUKA CORP - TOTAL DEBT % TOTAL CAPITAL/STD,3.44,3.26,3.08,2.85,2.55,2.31,1.97,NA
OTSUKA CORP - BOOK VALUE-OUT SHARES-FISCAL,605.811,683.88,731.398,787.822,842.266,904.826,977.845,NA
OTSUKA CORP - PRICE TO BOOK VAL,4.13,3.13,3.21,3.37,2.49,2.52,3.23,3.06
NIKON CORPORATION - RETURN ON ASSETS,3.57,6.36,0.87,-3.55,4.54,4.69,3.35,NA
NIKON CORPORATION - TOTAL DEBT % COMMON EQUITY,21.88,20.94,25.73,27.46,25.62,25.71,28.1,NA
NIKON CORPORATION - TOTAL DEBT % TOTAL CAPITAL/STD,17.93,17.3,20.43,21.51,20.33,20.36,21.91,NA
NIKON CORPORATION - BOOK VALUE-OUT SHARES-FISCAL,1445.922,1554.337,1472.686,1464.056,1627.347,1776.472,1973.675,NA
NIKON CORPORATION - PRICE TO BOOK VAL,1.2,1.07,0.67,0.65,0.76,0.66,0.8,0.72
OKUMA CORP - RETURN ON ASSETS,6.41,7.87,4.78,0.97,4.83,7.06,6.66,NA
OKUMA CORP - TOTAL DEBT % COMMON EQUITY,7.42,6.77,4.02,3.34,3.39,3.08,3.23,NA
OKUMA CORP - TOTAL DEBT % TOTAL CAPITAL/STD,6.65,6.1,3.71,3.1,3.14,2.86,3,NA
OKUMA CORP - BOOK VALUE-OUT SHARES-FISCAL,2408.414,2561.116,2598.945,2719.659,2947.41,3286.787,3747.136,NA
OKUMA CORP - PRICE TO BOOK VAL,1.18,1.21,0.63,1.09,0.71,0.77,0.96,0.8
SUMITOMO HEAVY INDS. - RETURN ON ASSETS,4.24,5.16,3.54,2.77,1.58,2.98,0.75,NA
SUMITOMO HEAVY INDS. - TOTAL DEBT % COMMON EQUITY,17.49,18.2,29.44,27.83,30.17,27.59,38.75,NA
SUMITOMO HEAVY INDS. - TOTAL DEBT % TOTAL CAPITAL/STD,14.49,15.07,22.25,21.29,22.94,21.42,27.75,NA
SUMITOMO HEAVY INDS. - BOOK VALUE-OUT SHARES-FISCAL,3517.33,3701.008,3790.988,4005.435,4647.203,5059.879,5331.015,NA
SUMITOMO HEAVY INDS. - PRICE TO BOOK VAL,1.1,1.02,0.54,0.69,0.58,0.62,0.89,0.54
"PARK24 CO., LTD. - RETURN ON ASSETS",5.32,4.51,-15.53,-2.71,1,6.71,7.02,NA
"PARK24 CO., LTD. - TOTAL DEBT % COMMON EQUITY",131.42,153.89,658.88,1389.32,486.77,292.25,184.25,NA
"PARK24 CO., LTD. - TOTAL DEBT % TOTAL CAPITAL/STD",56.72,60.55,86.82,93.29,82.96,74.51,64.82,NA
"PARK24 CO., LTD. - BOOK VALUE-OUT SHARES-FISCAL",611.632,586.425,201.608,106.342,234.823,342.576,458.072,NA
"PARK24 CO., LTD. - PRICE TO BOOK VAL",4.76,4,7.38,18.82,8.03,5.55,3.94,4.16
SAPPORO HOLDINGS LTD - RETURN ON ASSETS,1.61,0.87,-2.21,2.21,1.04,1.68,1.5,NA
SAPPORO HOLDINGS LTD - TOTAL DEBT % COMMON EQUITY,160.73,148.1,179.03,135.37,158.26,134.73,120.69,NA
SAPPORO HOLDINGS LTD - TOTAL DEBT % TOTAL CAPITAL/STD,61.18,59.63,64.2,57.4,61.15,57.27,54.54,NA
SAPPORO HOLDINGS LTD - BOOK VALUE-OUT SHARES-FISCAL,2097.888,2234.642,1922.813,2086.979,2134.982,2340.407,2515.678,NA
SAPPORO HOLDINGS LTD - PRICE TO BOOK VAL,1.45,1.04,1.05,1.09,1.09,1.5,2.38,3.14
MITSUI CHEMICALS INC - RETURN ON ASSETS,5.53,5.51,2.82,4.04,6.53,4.39,2.61,NA
MITSUI CHEMICALS INC - TOTAL DEBT % COMMON EQUITY,90.71,87.88,105.05,83.93,93.47,93.83,87.7,NA
MITSUI CHEMICALS INC - TOTAL DEBT % TOTAL CAPITAL/STD,44.15,43.43,47.69,42.79,45.21,45.53,43.45,NA
MITSUI CHEMICALS INC - BOOK VALUE-OUT SHARES-FISCAL,2572.496,2829.5,2761.914,3102.521,3687.999,4139.755,4538.105,NA
MITSUI CHEMICALS INC - PRICE TO BOOK VAL,1.16,1.02,0.64,0.96,0.71,0.73,1,0.67
