Name,2014,2015,2016,2017
HAMAMATSU PHOTONICS - RETURN ON ASSETS,7.57,7.74,6.73,8.06
HAMAMATSU PHOTONICS - TOTAL DEBT % COMMON EQUITY,6.31,6.15,6.62,5.99
HAMAMATSU PHOTONICS - PRICE TO BOOK VAL,2.24,3.4,2.64,2.97
PIGEON CORP - RETURN ON ASSETS,13.2,13.06,14.05,14.63
PIGEON CORP - TOTAL DEBT % COMMON EQUITY,8.93,17.55,12.89,11.04
PIGEON CORP - PRICE TO BOOK VAL,3.88,8.14,6.62,7.5
OSG CORP - RETURN ON ASSETS,7.36,8.5,6.58,8.76
OSG CORP - TOTAL DEBT % COMMON EQUITY,23.32,19.69,36.33,14.09
OSG CORP - PRICE TO BOOK VAL,1.69,2.35,1.97,1.85
POLA ORBIS HOLDINGS - RETURN ON ASSETS,4.81,6.23,7.62,11.44
POLA ORBIS HOLDINGS - TOTAL DEBT % COMMON EQUITY,2.37,1.73,1.93,1.88
POLA ORBIS HOLDINGS - PRICE TO BOOK VAL,1.18,2.07,2.76,3.12
TODA CORP - RETURN ON ASSETS,2.27,3.07,4,7.92
TODA CORP - TOTAL DEBT % COMMON EQUITY,47.68,36.85,45.65,31.43
TODA CORP - PRICE TO BOOK VAL,0.53,0.9,0.68,0.89
ONO PHARMACEUTICAL - RETURN ON ASSETS,4.34,2.6,4.72,9.77
ONO PHARMACEUTICAL - TOTAL DEBT % COMMON EQUITY,0.22,0.13,0.18,0.19
ONO PHARMACEUTICAL - PRICE TO BOOK VAL,1.75,2.84,5.3,2.34
TOPPAN HOLDINGS INC - RETURN ON ASSETS,1.36,1.34,1.95,1.78
TOPPAN HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,42.24,38.47,30.24,24.81
TOPPAN HOLDINGS INC - PRICE TO BOOK VAL,0.5,0.73,0.64,0.65
AIR WATER INC - RETURN ON ASSETS,4.01,4.04,3.76,3.86
AIR WATER INC - TOTAL DEBT % COMMON EQUITY,76.22,68.29,67.1,67.25
AIR WATER INC - PRICE TO BOOK VAL,1.27,1.92,1.31,1.41
RAKUTEN GROUP INC - RETURN ON ASSETS,2.12,1.17,0.9,2.11
RAKUTEN GROUP INC - TOTAL DEBT % COMMON EQUITY,139.94,98.06,104.54,148.68
RAKUTEN GROUP INC - PRICE TO BOOK VAL,3.71,4.49,2.48,2.51
TREND MICRO INCORP. - RETURN ON ASSETS,8.59,7.81,8.56,8.35
TREND MICRO INCORP. - TOTAL DEBT % COMMON EQUITY,0,0,0,0
TREND MICRO INCORP. - PRICE TO BOOK VAL,2.79,3.84,3.42,4.17
RENESAS ELECTRON - RETURN ON ASSETS,-0.1,10.54,7.71,8.39
RENESAS ELECTRON - TOTAL DEBT % COMMON EQUITY,126.24,83.91,37.44,45.05
RENESAS ELECTRON - PRICE TO BOOK VAL,3.66,3.83,2.5,3.09
RELO GROUP INC - RETURN ON ASSETS,9.28,9.67,9.41,10.17
RELO GROUP INC - TOTAL DEBT % COMMON EQUITY,24.44,33.3,51.13,55.13
RELO GROUP INC - PRICE TO BOOK VAL,2.65,4.75,5.9,7.49
"RESORT TRUST, INC. - RETURN ON ASSETS",3.18,3.53,3.37,2.77
"RESORT TRUST, INC. - TOTAL DEBT % COMMON EQUITY",92.9,124.09,103.37,92.23
"RESORT TRUST, INC. - PRICE TO BOOK VAL",1.81,2.95,2.2,1.76
FAST RETAILING CO - RETURN ON ASSETS,8.05,10.38,4.22,9.48
FAST RETAILING CO - TOTAL DEBT % COMMON EQUITY,6.07,5.06,49.34,38.47
FAST RETAILING CO - PRICE TO BOOK VAL,5.24,6.81,5.11,5.21
TOKYO ELECTRON LTD. - RETURN ON ASSETS,-2.49,8.64,9.55,13.47
TOKYO ELECTRON LTD. - TOTAL DEBT % COMMON EQUITY,2.34,0,0,0
TOKYO ELECTRON LTD. - PRICE TO BOOK VAL,1.73,2.15,1.98,3.35
"RICOH COMPANY, LTD. - RETURN ON ASSETS",3.27,2.86,2.54,0.22
"RICOH COMPANY, LTD. - TOTAL DEBT % COMMON EQUITY",70.35,72.92,79.12,82.5
"RICOH COMPANY, LTD. - PRICE TO BOOK VAL",0.77,0.86,0.66,0.72
RECRUIT HOLDINGS - RETURN ON ASSETS,8.02,7.23,5.84,6.67
RECRUIT HOLDINGS - TOTAL DEBT % COMMON EQUITY,10.43,4,1.94,27.47
RECRUIT HOLDINGS - PRICE TO BOOK VAL,NA,2.88,2.65,3.83
RINNAI CORP - RETURN ON ASSETS,7.86,6.01,6.26,5.79
RINNAI CORP - TOTAL DEBT % COMMON EQUITY,2.82,0.91,0.09,0.07
RINNAI CORP - PRICE TO BOOK VAL,1.94,1.97,1.79,1.77
"KURARAY CO., LTD. - RETURN ON ASSETS",4.97,5.25,5.79,7.29
"KURARAY CO., LTD. - TOTAL DEBT % COMMON EQUITY",16.05,12.35,12.01,11.13
"KURARAY CO., LTD. - PRICE TO BOOK VAL",0.87,1.18,0.99,1.22
H.U. GROUP HOLDING - RETURN ON ASSETS,6.83,6.58,-1.82,0.17
H.U. GROUP HOLDING - TOTAL DEBT % COMMON EQUITY,18,20.01,17.81,7.65
H.U. GROUP HOLDING - PRICE TO BOOK VAL,1.54,2.29,1.74,2.38
ROHM CO LTD - RETURN ON ASSETS,4.46,5.63,3.09,3.24
ROHM CO LTD - TOTAL DEBT % COMMON EQUITY,0,0.01,0.01,0
ROHM CO LTD - PRICE TO BOOK VAL,0.77,1.27,0.65,1.21
ROUND ONE CORP. - RETURN ON ASSETS,-10.92,-3.14,0.63,3.23
ROUND ONE CORP. - TOTAL DEBT % COMMON EQUITY,99.38,87.35,82.12,71.38
ROUND ONE CORP. - PRICE TO BOOK VAL,1.11,1.13,1.31,1.78
HIROSE ELECTRIC CO. - RETURN ON ASSETS,7.78,7.42,6.66,6.66
HIROSE ELECTRIC CO. - TOTAL DEBT % COMMON EQUITY,0,0,0,0
HIROSE ELECTRIC CO. - PRICE TO BOOK VAL,1.63,2.15,1.55,1.6
TSURUHA HOLDINGS INC - RETURN ON ASSETS,8.22,8.5,7.71,8.52
TSURUHA HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,0.66,0.36,5.71,4.22
TSURUHA HOLDINGS INC - PRICE TO BOOK VAL,1.82,2.9,3.15,3.04
TOBU RAILWAY CO. - RETURN ON ASSETS,2.6,2.36,2.07,2.6
TOBU RAILWAY CO. - TOTAL DEBT % COMMON EQUITY,234.94,224.45,214.12,192.93
TOBU RAILWAY CO. - PRICE TO BOOK VAL,1.4,1.52,1.41,1.39
NICHIREI CORP - RETURN ON ASSETS,3.17,3.19,4.19,5.7
NICHIREI CORP - TOTAL DEBT % COMMON EQUITY,79.98,72.89,62.92,56.88
NICHIREI CORP - PRICE TO BOOK VAL,0.96,1.32,1.66,2.48
NXERA PHARMA CO - RETURN ON ASSETS,14.11,2.08,-2.13,21.21
NXERA PHARMA CO - TOTAL DEBT % COMMON EQUITY,0,135.65,38.18,23.92
NXERA PHARMA CO - PRICE TO BOOK VAL,2.48,4.46,11.14,5.11
SANKYO CO LTD (6417) - RETURN ON ASSETS,4.95,2,2.5,0.45
SANKYO CO LTD (6417) - TOTAL DEBT % COMMON EQUITY,0,0.01,5.76,5.9
SANKYO CO LTD (6417) - PRICE TO BOOK VAL,0.86,1.08,0.99,0.92
SANWA HOLDINGS - RETURN ON ASSETS,4.17,4.46,4.79,5.54
SANWA HOLDINGS - TOTAL DEBT % COMMON EQUITY,60.73,69.86,54.65,53.72
SANWA HOLDINGS - PRICE TO BOOK VAL,1.19,1.83,1.56,1.81
SUNTORY BEVERAGE - RETURN ON ASSETS,2.95,3.16,3.43,5.49
SUNTORY BEVERAGE - TOTAL DEBT % COMMON EQUITY,60.86,74.83,59.81,46.87
SUNTORY BEVERAGE - PRICE TO BOOK VAL,1.9,2.75,2.89,2.36
SUMITOMO CHEMICAL CO - RETURN ON ASSETS,1.73,2.15,3.27,3.42
SUMITOMO CHEMICAL CO - TOTAL DEBT % COMMON EQUITY,180.53,136.92,124.55,121.48
SUMITOMO CHEMICAL CO - PRICE TO BOOK VAL,0.77,1.48,0.98,1.08
"SEKISUI HOUSE, LTD. - RETURN ON ASSETS",4.92,4.94,4.29,5.86
"SEKISUI HOUSE, LTD. - TOTAL DEBT % COMMON EQUITY",31.12,32.9,40.25,44.47
"SEKISUI HOUSE, LTD. - PRICE TO BOOK VAL",0.82,1.36,1.24,1.09
SEIBU HOLDINGS - RETURN ON ASSETS,1.77,2.98,4.28,3.56
SEIBU HOLDINGS - TOTAL DEBT % COMMON EQUITY,315.81,229.78,215.64,255.82
SEIBU HOLDINGS - PRICE TO BOOK VAL,1.83,2.88,1.88,1.69
CREDIT SAISON CO. - RETURN ON ASSETS,1.56,0.73,1.35,1.92
CREDIT SAISON CO. - TOTAL DEBT % COMMON EQUITY,338.72,340.32,408.17,412.86
CREDIT SAISON CO. - PRICE TO BOOK VAL,0.74,0.96,0.76,0.71
SEIKO EPSON - RETURN ON ASSETS,10.56,12.82,5.07,5.37
SEIKO EPSON - TOTAL DEBT % COMMON EQUITY,63.2,37.62,30.3,29.78
SEIKO EPSON - PRICE TO BOOK VAL,1.1,1.74,1.35,1.59
SENSHU IKEDA - RETURN ON ASSETS,0.37,0.37,0.34,0.26
SENSHU IKEDA - TOTAL DEBT % COMMON EQUITY,345.08,258.15,168.31,223.06
SENSHU IKEDA - PRICE TO BOOK VAL,0.6,0.71,0.56,0.63
SEGA SAMMY HLDNGS - RETURN ON ASSETS,5.88,-1.9,1.1,5.39
SEGA SAMMY HLDNGS - TOTAL DEBT % COMMON EQUITY,27.88,35.09,45.7,34.28
SEGA SAMMY HLDNGS - PRICE TO BOOK VAL,1.32,1.41,0.96,1.08
SEVEN & I HLDGS CO - RETURN ON ASSETS,4.03,3.58,3.13,1.86
SEVEN & I HLDGS CO - TOTAL DEBT % COMMON EQUITY,46.89,43.28,45.48,46.75
SEVEN & I HLDGS CO - PRICE TO BOOK VAL,1.52,1.95,1.79,1.74
"SEVEN BANK, LTD. - RETURN ON ASSETS",2.75,2.88,2.84,2.73
"SEVEN BANK, LTD. - TOTAL DEBT % COMMON EQUITY",88.65,74.18,67.69,65.34
"SEVEN BANK, LTD. - PRICE TO BOOK VAL",2.55,3.84,2.51,2.21
SBI HOLDINGS INC - RETURN ON ASSETS,1.23,1.9,1.48,1.27
SBI HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,201.45,174.32,181.38,244.53
SBI HOLDINGS INC - PRICE TO BOOK VAL,0.64,1.01,0.67,0.75
SOFTBANK GROUP CORP - RETURN ON ASSETS,5.92,4.76,3.49,8.46
SOFTBANK GROUP CORP - TOTAL DEBT % COMMON EQUITY,468.97,407.8,456.17,414.3
SOFTBANK GROUP CORP - PRICE TO BOOK VAL,2.84,3.18,1.85,1.76
NIPPON SHEET GLASS - RETURN ON ASSETS,-0.19,1.23,-3.77,1.84
NIPPON SHEET GLASS - TOTAL DEBT % COMMON EQUITY,273.84,248.73,415.49,471.08
NIPPON SHEET GLASS - PRICE TO BOOK VAL,0.63,1.05,0.94,0.85
SG HOLDINGS CO LTD - RETURN ON ASSETS,3.45,4.86,6.38,5.03
SG HOLDINGS CO LTD - TOTAL DEBT % COMMON EQUITY,118.45,98.26,72.35,57.33
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
SHARP CORPOR - RETURN ON ASSETS,0.82,-9.61,-13.49,-1.11
SHARP CORPOR - TOTAL DEBT % COMMON EQUITY,555.32,3229.72,-272.72,698.25
SHARP CORPOR - PRICE TO BOOK VAL,14.8,-1.05,7.34,11.31
SBI SHINSEI BANK LTD - RETURN ON ASSETS,0.61,0.89,0.8,0.64
SBI SHINSEI BANK LTD - TOTAL DEBT % COMMON EQUITY,220.1,198.88,156.95,183.85
SBI SHINSEI BANK LTD - PRICE TO BOOK VAL,0.76,0.84,0.54,0.55
"SHISEIDO CO., LTD. - RETURN ON ASSETS",3.71,3.87,3.89,2.56
"SHISEIDO CO., LTD. - TOTAL DEBT % COMMON EQUITY",45.92,22.06,30.62,33.14
"SHISEIDO CO., LTD. - PRICE TO BOOK VAL",1.72,2.5,2.82,3.32
"SHIMAMURA CO., LTD. - RETURN ON ASSETS",8.77,7.26,7.25,8.99
"SHIMAMURA CO., LTD. - TOTAL DEBT % COMMON EQUITY",2.15,1.39,0.69,0.03
"SHIMAMURA CO., LTD. - PRICE TO BOOK VAL",1.32,1.53,1.59,1.66
SHIMANO INC. - RETURN ON ASSETS,14.43,18.56,11.73,8.31
SHIMANO INC. - TOTAL DEBT % COMMON EQUITY,3.99,2.91,2.5,2.2
SHIMANO INC. - PRICE TO BOOK VAL,2.84,4.38,3.91,3.83
"SUZUKEN CO., LTD. - RETURN ON ASSETS",2.1,1.79,2.56,1.87
"SUZUKEN CO., LTD. - TOTAL DEBT % COMMON EQUITY",0.67,1.03,0.55,0.72
"SUZUKEN CO., LTD. - PRICE TO BOOK VAL",0.83,0.99,0.85,0.83
SHIKOKU ELECTRIC PWR - RETURN ON ASSETS,0.49,1.09,1.21,1.34
SHIKOKU ELECTRIC PWR - TOTAL DEBT % COMMON EQUITY,262.67,240.51,256.1,237.66
SHIKOKU ELECTRIC PWR - PRICE TO BOOK VAL,0.91,1.34,0.86,0.91
SANKEN ELECTRIC CO. - RETURN ON ASSETS,3.69,4.75,0.13,1.09
SANKEN ELECTRIC CO. - TOTAL DEBT % COMMON EQUITY,165.39,142.3,176,167.33
SANKEN ELECTRIC CO. - PRICE TO BOOK VAL,1.4,1.97,0.68,1.01
MURATA MANUFACTURING - RETURN ON ASSETS,8.2,13.15,14.59,10.43
MURATA MANUFACTURING - TOTAL DEBT % COMMON EQUITY,5.98,2.3,0.96,3.47
MURATA MANUFACTURING - PRICE TO BOOK VAL,1.61,3.38,1.98,2.3
SMC CORP - RETURN ON ASSETS,9.58,10.48,8.19,9.78
SMC CORP - TOTAL DEBT % COMMON EQUITY,8.52,8.29,5.84,2.25
SMC CORP - PRICE TO BOOK VAL,1.78,2.54,1.77,1.94
SUMITOMO MITSUI - RETURN ON ASSETS,0.62,0.52,0.45,0.47
SUMITOMO MITSUI - TOTAL DEBT % COMMON EQUITY,408.45,413.9,339.72,375.68
SUMITOMO MITSUI - PRICE TO BOOK VAL,0.59,0.82,0.5,0.55
M3 INC - RETURN ON ASSETS,20.7,18.09,18.95,19.13
M3 INC - TOTAL DEBT % COMMON EQUITY,0,0,0.11,0
M3 INC - PRICE TO BOOK VAL,9.83,14,15.71,12.07
SONY GROUP CORP - RETURN ON ASSETS,-0.72,-0.66,1.02,0.47
SONY GROUP CORP - TOTAL DEBT % COMMON EQUITY,57.32,40.29,36.27,48.03
SONY GROUP CORP - PRICE TO BOOK VAL,0.82,2,1.47,1.68
SOFTBANK CORP - RETURN ON ASSETS,NA,NA,NA,10.18
SOFTBANK CORP - TOTAL DEBT % COMMON EQUITY,NA,NA,139.68,130.82
#ERROR,"$$ER: 2361,NO DATA AVAILABLE",,,
SHINKO ELECTRIC IND. - RETURN ON ASSETS,5.42,3.66,1.96,1.71
SHINKO ELECTRIC IND. - TOTAL DEBT % COMMON EQUITY,0.55,0.56,0.61,0.57
SHINKO ELECTRIC IND. - PRICE TO BOOK VAL,0.78,1.08,0.63,0.86
SOHGO SECURITY SERV - RETURN ON ASSETS,3.67,4,5.17,5.32
SOHGO SECURITY SERV - TOTAL DEBT % COMMON EQUITY,45.27,40.73,26.02,33.36
SOHGO SECURITY SERV - PRICE TO BOOK VAL,1.34,2.43,2.71,2.35
"SHIONOGI & CO., LTD. - RETURN ON ASSETS",7.4,7.57,10.86,12.88
"SHIONOGI & CO., LTD. - TOTAL DEBT % COMMON EQUITY",6.42,6.5,6.02,5.84
"SHIONOGI & CO., LTD. - PRICE TO BOOK VAL",1.28,3,3.72,3.2
SANRIO COMPANY LTD - RETURN ON ASSETS,12.43,11.15,8.88,6.68
SANRIO COMPANY LTD - TOTAL DEBT % COMMON EQUITY,42.95,39.36,38.51,41.77
SANRIO COMPANY LTD - PRICE TO BOOK VAL,4.17,5.13,3.33,3.32
SEVENTY-SEVEN BANK - RETURN ON ASSETS,0.18,0.2,0.19,0.19
SEVENTY-SEVEN BANK - TOTAL DEBT % COMMON EQUITY,31.81,28.69,5.83,47.38
SEVENTY-SEVEN BANK - PRICE TO BOOK VAL,0.37,0.58,0.3,0.38
STANLEY ELECTRIC CO. - RETURN ON ASSETS,6.62,6.06,5.86,6.51
STANLEY ELECTRIC CO. - TOTAL DEBT % COMMON EQUITY,8.06,7.55,7.31,6.27
STANLEY ELECTRIC CO. - PRICE TO BOOK VAL,1.2,1.64,1.21,1.57
ZOZO INC - RETURN ON ASSETS,27.91,24.63,32.04,38.54
ZOZO INC - TOTAL DEBT % COMMON EQUITY,0,0,0.06,0
ZOZO INC - PRICE TO BOOK VAL,9.59,20.21,17.16,21.67
SUMITOMO ELECTRIC - RETURN ON ASSETS,2.96,4.59,3.36,3.97
SUMITOMO ELECTRIC - TOTAL DEBT % COMMON EQUITY,44.94,38.49,33.6,36.1
SUMITOMO ELECTRIC - PRICE TO BOOK VAL,0.73,1.09,0.82,0.92
SCSK CORP - RETURN ON ASSETS,6.32,5.16,8.37,8.15
SCSK CORP - TOTAL DEBT % COMMON EQUITY,51.7,43.59,36.02,37.53
SCSK CORP - PRICE TO BOOK VAL,1.97,2.55,2.5,2.62
"SURUGA BANK, LTD. - RETURN ON ASSETS",0.7,0.79,0.85,0.96
"SURUGA BANK, LTD. - TOTAL DEBT % COMMON EQUITY",1.16,0.87,0.71,0.47
"SURUGA BANK, LTD. - PRICE TO BOOK VAL",1.36,2.08,1.51,1.66
SUMITOMO RUBBER IND. - RETURN ON ASSETS,6.15,6.19,4.84,5.36
SUMITOMO RUBBER IND. - TOTAL DEBT % COMMON EQUITY,71.54,61.49,47.59,59.47
SUMITOMO RUBBER IND. - PRICE TO BOOK VAL,0.87,1.3,0.95,1.08
OSAKA TITANIUM - RETURN ON ASSETS,-2.03,2.69,-9.18,0.81
OSAKA TITANIUM - TOTAL DEBT % COMMON EQUITY,144.19,113.3,132.43,141.58
OSAKA TITANIUM - PRICE TO BOOK VAL,1.75,2.95,1.41,1.69
RESONAC HOLDINGS - RETURN ON ASSETS,0.5,0.52,1.6,3.68
RESONAC HOLDINGS - TOTAL DEBT % COMMON EQUITY,146.49,141.2,134.91,111.2
RESONAC HOLDINGS - PRICE TO BOOK VAL,0.62,0.8,0.54,0.88
SHIMIZU CORPORATION - RETURN ON ASSETS,1.08,2.21,3.58,5.93
SHIMIZU CORPORATION - TOTAL DEBT % COMMON EQUITY,92.62,78.88,81.84,59.6
SHIMIZU CORPORATION - PRICE TO BOOK VAL,0.99,1.52,1.35,1.34
TAKEDA PHAR CO LTD - RETURN ON ASSETS,2.67,-3.29,2.15,3.07
TAKEDA PHAR CO LTD - TOTAL DEBT % COMMON EQUITY,35.51,35.04,42.19,63.54
TAKEDA PHAR CO LTD - PRICE TO BOOK VAL,1.65,2.41,1.93,2.23
T&D HOLDINGS INC - RETURN ON ASSETS,0.59,0.67,0.5,0.51
T&D HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,29.46,19.68,16.58,15.82
T&D HOLDINGS INC - PRICE TO BOOK VAL,1.21,1.62,0.86,1.21
TAISHO PHARM. - RETURN ON ASSETS,4.7,3.31,2.97,3.8
TAISHO PHARM. - TOTAL DEBT % COMMON EQUITY,0.13,0.1,0.06,0.05
TAISHO PHARM. - PRICE TO BOOK VAL,0.91,1.13,1.2,1.05
TAISEI CORP - RETURN ON ASSETS,2.28,2.43,4.65,5.38
TAISEI CORP - TOTAL DEBT % COMMON EQUITY,83.17,56.04,49.34,42
TAISEI CORP - PRICE TO BOOK VAL,1.13,1.54,1.61,1.57
TDK CORP - RETURN ON ASSETS,1.55,3.98,4.8,9.68
TDK CORP - TOTAL DEBT % COMMON EQUITY,42.03,36.32,49.72,42.1
TDK CORP - PRICE TO BOOK VAL,0.7,1.74,0.99,1.05
TOKYO ELECTRIC POWER - RETURN ON ASSETS,3.67,3.76,1.49,1.55
TOKYO ELECTRIC POWER - TOTAL DEBT % COMMON EQUITY,1393.15,657.81,557.65,453.11
TOKYO ELECTRIC POWER - PRICE TO BOOK VAL,0.57,0.74,0.63,0.45
TERUMO CORP - RETURN ON ASSETS,4.4,4.31,5.46,5.76
TERUMO CORP - TOTAL DEBT % COMMON EQUITY,32.76,39.41,42.98,69.33
TERUMO CORP - PRICE TO BOOK VAL,1.31,2.06,3.15,2.78
TOKYU FUDOSAN - RETURN ON ASSETS,NA,1.69,1.76,1.85
TOKYU FUDOSAN - TOTAL DEBT % COMMON EQUITY,274.18,286.91,267.47,260.33
TOKYU FUDOSAN - PRICE TO BOOK VAL,1.21,1.36,1.01,0.85
TBS HOLDINGS INC - RETURN ON ASSETS,1.82,2.19,2.31,2.43
TBS HOLDINGS INC - TOTAL DEBT % COMMON EQUITY,21.42,12.99,12.35,4.9
TBS HOLDINGS INC - PRICE TO BOOK VAL,0.41,0.65,0.56,0.57
"THK CO., LTD. - RETURN ON ASSETS",5.14,6.5,3.56,8.27
"THK CO., LTD. - TOTAL DEBT % COMMON EQUITY",27.66,24.47,34.75,25.84
"THK CO., LTD. - PRICE TO BOOK VAL",1.07,1.48,0.93,1.35
"TOHO GAS CO., LTD. - RETURN ON ASSETS",2.51,3.9,8.19,3.48
"TOHO GAS CO., LTD. - TOTAL DEBT % COMMON EQUITY",66.59,52.75,44.59,37.32
"TOHO GAS CO., LTD. - PRICE TO BOOK VAL",1,1.47,1.38,1.34
TOKAI RIKA CO. LTD. - RETURN ON ASSETS,5.4,5.56,1.54,-1.17
TOKAI RIKA CO. LTD. - TOTAL DEBT % COMMON EQUITY,6.25,2.38,1.73,1.19
TOKAI RIKA CO. LTD. - PRICE TO BOOK VAL,0.65,1.33,0.89,0.86
TIS INC - RETURN ON ASSETS,2.73,3.27,3.87,5
TIS INC - TOTAL DEBT % COMMON EQUITY,41.55,32.96,31.42,22.21
TIS INC - PRICE TO BOOK VAL,0.74,1.26,1.15,1.2
TEIJIN LIMITED - RETURN ON ASSETS,1.29,-0.63,3.98,5.91
TEIJIN LIMITED - TOTAL DEBT % COMMON EQUITY,99.8,107.16,100.78,110.75
TEIJIN LIMITED - PRICE TO BOOK VAL,0.77,1.42,1.12,1.04
"TAKASHIMAYA CO., LTD - RETURN ON ASSETS",2.31,2.48,2.51,2.19
"TAKASHIMAYA CO., LTD - TOTAL DEBT % COMMON EQUITY",47.51,41.33,39.24,38
"TAKASHIMAYA CO., LTD - PRICE TO BOOK VAL",0.88,1.05,0.65,0.83
TOKYO STEEL MFG. CO. - RETURN ON ASSETS,1.76,7.28,13.58,7.76
TOKYO STEEL MFG. CO. - TOTAL DEBT % COMMON EQUITY,41.12,24.16,10.87,1.46
TOKYO STEEL MFG. CO. - PRICE TO BOOK VAL,0.85,1.28,0.85,1.04
PERSOL HOLDINGS - RETURN ON ASSETS,7.39,6.71,7.56,7.14
PERSOL HOLDINGS - TOTAL DEBT % COMMON EQUITY,44.99,49.46,24.73,18.46
PERSOL HOLDINGS - PRICE TO BOOK VAL,2.06,2.68,2.83,3.6
NIPPON SANSO - RETURN ON ASSETS,3.37,3.05,3.65,4.46
NIPPON SANSO - TOTAL DEBT % COMMON EQUITY,101.37,83.93,87.54,102.35
NIPPON SANSO - PRICE TO BOOK VAL,1.19,2.08,1.29,1.29
SYSMEX CORPORATION - RETURN ON ASSETS,10.74,11.63,14.08,15.3
SYSMEX CORPORATION - TOTAL DEBT % COMMON EQUITY,1.34,0.42,0.72,0
SYSMEX CORPORATION - PRICE TO BOOK VAL,4.15,7.66,7.63,5.4
"TOYOBO CO., LTD. - RETURN ON ASSETS",2.12,2.1,2.53,2.38
"TOYOBO CO., LTD. - TOTAL DEBT % COMMON EQUITY",119.96,112.09,105.38,100.87
"TOYOBO CO., LTD. - PRICE TO BOOK VAL",0.91,1.09,1.09,0.92
TOHO CO LTD (TOKYO) - RETURN ON ASSETS,5.15,6.28,6.77,8.25
TOHO CO LTD (TOKYO) - TOTAL DEBT % COMMON EQUITY,1.5,1.36,1.29,1.17
TOHO CO LTD (TOKYO) - PRICE TO BOOK VAL,1.41,2.08,1.72,1.72
TOHO HOLDINGS - RETURN ON ASSETS,1.86,2.33,3.53,2.3
TOHO HOLDINGS - TOTAL DEBT % COMMON EQUITY,23.58,25.24,19.95,14.85
TOHO HOLDINGS - PRICE TO BOOK VAL,0.83,0.97,0.98,0.75
TOKUYAMA CORPORATION - RETURN ON ASSETS,2.28,-10.73,-20.09,14
TOKUYAMA CORPORATION - TOTAL DEBT % COMMON EQUITY,104.83,174.19,475.94,200.62
TOKUYAMA CORPORATION - PRICE TO BOOK VAL,0.61,1.82,0.92,1.38
TOYO SUISAN KAISHA - RETURN ON ASSETS,7.83,5.33,5.48,5.97
TOYO SUISAN KAISHA - TOTAL DEBT % COMMON EQUITY,2,1.89,1.75,1.65
TOYO SUISAN KAISHA - PRICE TO BOOK VAL,1.27,1.72,1.61,1.58
TOTO LTD. - RETURN ON ASSETS,10.25,5.12,6.96,6.34
TOTO LTD. - TOTAL DEBT % COMMON EQUITY,19.3,17,14.73,11.46
TOTO LTD. - PRICE TO BOOK VAL,1.6,2.54,2.32,2.09
TOYO SEIKAN GROUP - RETURN ON ASSETS,1.47,0.37,0.97,1.14
TOYO SEIKAN GROUP - TOTAL DEBT % COMMON EQUITY,23.3,26.95,29.8,24.87
TOYO SEIKAN GROUP - PRICE TO BOOK VAL,0.46,0.59,0.7,0.56
TORAY INDUSTRIES - RETURN ON ASSETS,3.3,3.38,4.07,4.43
TORAY INDUSTRIES - TOTAL DEBT % COMMON EQUITY,76.07,70.96,74.39,70.06
TORAY INDUSTRIES - PRICE TO BOOK VAL,1.02,1.72,1.46,1.37
TOSHIBA CORPORATION - RETURN ON ASSETS,1.13,-0.21,-7.59,-19.85
TOSHIBA CORPORATION - TOTAL DEBT % COMMON EQUITY,112.96,123.74,441.18,-217.71
TOSHIBA CORPORATION - PRICE TO BOOK VAL,1.55,5.25,-1.72,1.93
TOSOH CORP - RETURN ON ASSETS,4.4,8.84,5.54,10.18
TOSOH CORP - TOTAL DEBT % COMMON EQUITY,130.52,93.93,58.67,33.92
TOSOH CORP - PRICE TO BOOK VAL,0.91,1.44,0.87,1.29
TSUMURA & CO. - RETURN ON ASSETS,10.15,7.05,5.79,5.67
TSUMURA & CO. - TOTAL DEBT % COMMON EQUITY,16.84,25,24.22,23.96
TSUMURA & CO. - PRICE TO BOOK VAL,1.12,1.32,1.15,1.6
TOHO TITANIUM CO. - RETURN ON ASSETS,-5.1,-2.39,5.36,4.33
TOHO TITANIUM CO. - TOTAL DEBT % COMMON EQUITY,165.57,159.26,115.04,97.7
TOHO TITANIUM CO. - PRICE TO BOOK VAL,1.52,2.35,1.32,1.28
TAKARA HOLDING - RETURN ON ASSETS,4.78,2.39,2.85,3.35
TAKARA HOLDING - TOTAL DEBT % COMMON EQUITY,32.04,36.63,32.85,35.48
TAKARA HOLDING - PRICE TO BOOK VAL,1.1,1.48,1.48,1.57
TOYOTA INDUSTRIES - RETURN ON ASSETS,2.93,3.01,4.43,3.12
TOYOTA INDUSTRIES - TOTAL DEBT % COMMON EQUITY,49.44,38.91,50.63,49.04
TOYOTA INDUSTRIES - PRICE TO BOOK VAL,0.59,1.09,0.63,0.69
TOYOTA BOSHOKU CORP - RETURN ON ASSETS,2.25,0.89,0.72,6.84
TOYOTA BOSHOKU CORP - TOTAL DEBT % COMMON EQUITY,66.41,68.48,73.66,41.05
TOYOTA BOSHOKU CORP - PRICE TO BOOK VAL,0.93,1.79,1.72,1.56
